,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Berlin,Berlin,LOC,0.00901305,0.09028020,de,400.90000000,,2950159.00000000,P,52.52437000,13.41053000,EUROPE,Deutschland,WCE
Deutschland,Deutschland,LOC,-0.08464432,0.09974920,de,292.40000000,,2921044.00000000,A,51.50000000,10.50000000,EUROPE,Deutschland,WCE
Brandenburg,Brandenburg,LOC,-0.06154121,0.11000119,de,280.30000000,,2945356.00000000,A,52.45905000,13.01582000,EUROPE,Deutschland,WCE
Glatteis,Glatteis,LOC,-0.16394996,0.08023755,de,263.80000000,,0.00000000,,,,,,
Bayern,Bayern,LOC,-0.08012317,0.09696017,de,254.40000000,,2951839.00000000,A,49.00000000,11.50000000,EUROPE,Deutschland,WCE
Hessen,Hessen,LOC,-0.04948336,0.07682501,de,248.40000000,,2905330.00000000,A,50.55000000,9.00000000,EUROPE,Deutschland,WCE
Deutschlands,Deutschlands,LOC,-0.02345372,0.11726858,de,160.60000000,,0.00000000,,,,,,
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.00520163,0.10725011,de,155.40000000,,2847618.00000000,A,49.66667000,7.50000000,EUROPE,Deutschland,WCE
Hamburg,Hamburg,LOC,0.03219279,0.08094187,de,135.90000000,,2911298.00000000,P,53.55073000,9.99302000,EUROPE,Deutschland,WCE
Thüringen,Thüringen,LOC,-0.07402344,0.08333333,de,128.00000000,,2822542.00000000,A,50.91667000,11.00000000,EUROPE,Deutschland,WCE
Niedersachsen,Niedersachsen,LOC,-0.01448041,0.10363430,de,117.40000000,,2862926.00000000,A,52.83333000,9.16667000,EUROPE,Deutschland,WCE
Sachsen,Sachsen,LOC,-0.09370134,0.08247275,de,116.20000000,,2842565.00000000,A,52.00000000,11.73330000,EUROPE,Deutschland,WCE
Saarland,Saarland,LOC,-0.06518583,0.11614402,de,114.80000000,,2842635.00000000,A,49.40472000,6.96083000,EUROPE,Deutschland,WCE
NRW,NRW,LOC,-0.01431738,0.15070922,de,112.80000000,,2886242.00000000,P,50.93333000,6.95000000,EUROPE,Deutschland,WCE
Schnee,Schnee,LOC,-0.09712587,0.03468781,de,100.90000000,,2837468.00000000,T,50.72938000,8.54329000,EUROPE,Deutschland,WCE
Baden-Württemberg,Baden-Württemberg,LOC,-0.11063218,0.14439655,de,92.80000000,,2953481.00000000,A,48.50000000,9.00000000,EUROPE,Deutschland,WCE
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.09849352,0.17543860,de,87.40000000,,2874545.00000000,P,52.12773000,11.62916000,EUROPE,Deutschland,WCE
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,-0.04454787,0.11968085,de,75.20000000,,2886242.00000000,P,50.93333000,6.95000000,EUROPE,Deutschland,WCE
…,…,LOC,0.05320868,0.06578947,de,72.20000000,,0.00000000,,,,,,
Bremen,Bremen,LOC,0.10455635,0.05995204,de,69.50000000,,2944388.00000000,P,53.07582000,8.80717000,EUROPE,Deutschland,NEU
USA,USA,LOC,-0.04635762,0.04966887,de,60.40000000,,6255150.00000000,L,-14.60485000,-57.65625000,SOUTH-AMERICA,,SAM
“,“,LOC,-0.03350084,0.01675042,de,59.70000000,,0.00000000,,,,,,
Alpen,Alpen,LOC,-0.02862254,0.08050089,de,55.90000000,,682673.00000000,T,45.50000000,24.25000000,EUROPE,Rumänien,WCE
Gewitter,Gewitter,LOC,-0.11636364,0.00000000,de,55.00000000,,0.00000000,,,,,,
Schleswig-Holstein,Schleswig-Holstein,LOC,-0.07383333,0.09333333,de,50.00000000,,2838632.00000000,A,54.20000000,9.75000000,EUROPE,Deutschland,NEU
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,-0.18856947,0.10266940,de,48.70000000,,2872567.00000000,A,53.83333000,12.50000000,EUROPE,Deutschland,WCE
