,phrase,label,sentiment,subjectivity,language,count
“,“,MISC,0.08538461538461542,0.7169230769230774,de,484.8999999999954
"Link
","Link
",MISC,,,de,263.50000000000097
Wetter“,Wetter“,MISC,,,de,125.70000000000032
Weihnachten,Weihnachten,MISC,0.45000000000000007,6.0,de,47.799999999999955
Winterwetter“,Winterwetter“,MISC,,,de,35.199999999999974
Hamburger,Hamburger,MISC,,,de,24.39999999999999
deutschen,deutschen,MISC,,,de,21.799999999999994
Gewitter im Kopf,Gewitter im Kopf,MISC,,,de,21.699999999999996
Zeit,Zeit,MISC,,,de,19.999999999999996
Verkehr“,Verkehr“,MISC,,,de,19.099999999999998
Wettervorhersage“,Wettervorhersage“,MISC,,,de,19.0
Berliner,Berliner,MISC,,,de,18.1
DWD-Prognose,DWD-Prognose,MISC,,,de,17.200000000000003
russischen,russischen,MISC,,,de,16.100000000000005
Winter“,Winter“,MISC,,,de,15.400000000000004
Capital</li><li>4,Capital</li><li>4,MISC,,,de,15.400000000000004
stern+,stern+,MISC,,,de,15.400000000000004
Wintersport“,Wintersport“,MISC,,,de,15.400000000000004
Glatteis“,Glatteis“,MISC,,,de,15.400000000000004
stern+statt,stern+statt,MISC,,,de,15.400000000000004
Deutscher,Deutscher,MISC,,,de,12.800000000000002
Eis und Schnee,Eis und Schnee,MISC,,,de,12.700000000000003
deutsche,deutsche,MISC,,,de,12.700000000000003
Deutsche,Deutsche,MISC,,,de,11.900000000000002
Schnee und Eis,Schnee und Eis,MISC,,,de,11.800000000000002
Winter in Norddeutschland,Winter in Norddeutschland,MISC,,,de,10.900000000000002
Erster Schnee,Erster Schnee,MISC,,,de,10.000000000000002
Der Winter,Der Winter,MISC,,,de,9.100000000000001
ukrainische,ukrainische,MISC,,,de,8.900000000000002
russische,russische,MISC,,,de,8.600000000000001
Deutschen,Deutschen,MISC,,,de,8.3
Gewitter im Kopf“,Gewitter im Kopf“,MISC,,,de,8.200000000000001
Der Schnee,Der Schnee,MISC,,,de,8.200000000000001
…,…,MISC,0.05121293800539087,0.06738544474393536,de,8.200000000000001
Youtube-Star Jan Zimmermann,Youtube-Star Jan Zimmermann,MISC,,,de,7.300000000000001
Sachsen,Sachsen,MISC,-0.019003595274781737,0.0,de,7.300000000000001
Wetterbericht“,Wetterbericht“,MISC,,,de,6.500000000000001
Schweizer,Schweizer,MISC,,,de,6.4
d…,d…,MISC,0.0,0.273972602739726,de,6.4
Deutschem,Deutschem,MISC,,,de,6.4
deutscher,deutscher,MISC,,,de,5.7
Wetter-Vorhersage“,Wetter-Vorhersage“,MISC,,,de,5.6000000000000005
Tages,Tages,MISC,,,de,5.6000000000000005
Wetteraussichten“,Wetteraussichten“,MISC,,,de,5.5
Wintereinbruch“,Wintereinbruch“,MISC,,,de,5.5
MV“,MV“,MISC,,,de,5.5
Winterspielen,Winterspielen,MISC,,,de,5.5
hessischen,hessischen,MISC,,,de,5.5
Das neue Jahr,Das neue Jahr,MISC,,,de,5.5
Wetter in Bayern“,Wetter in Bayern“,MISC,,,de,5.5
DWD-Vorhersage,DWD-Vorhersage,MISC,,,de,5.5
Glatteis,Glatteis,MISC,0.0006457167455875996,0.0,de,5.5
Winter in MV,Winter in MV,MISC,,,de,5.5
Frühling“,Frühling“,MISC,,,de,5.5
Rivian,Rivian,MISC,,,de,5.5
sozialen,sozialen,MISC,,,de,5.5
’s,’s,MISC,1.65,1.5,de,5.5
Götz-George-Preis,Götz-George-Preis,MISC,,,de,5.5
Weiße Weihnachten,Weiße Weihnachten,MISC,0.0,0.0,de,5.5
spanische,spanische,MISC,,,de,5.5
Wetterprognose“,Wetterprognose“,MISC,,,de,4.7
Schnee“,Schnee“,MISC,0.0,1.0,de,4.6
französische,französische,MISC,,,de,4.6
ePaper,ePaper,MISC,,,de,4.6
T…,T…,MISC,,,de,4.6
Instagram,Instagram,MISC,0.5,0.35714285714285715,de,4.6
indonesischen,indonesischen,MISC,,,de,4.6
e…,e…,MISC,,,de,4.6
Das winterliche Wetter,Das winterliche Wetter,MISC,,,de,4.6
G…,G…,MISC,,,de,4.6
Leise rieselt der Schnee,Leise rieselt der Schnee,MISC,,,de,4.6
S…,S…,MISC,0.85,0.0,de,4.6
