,phrase,label,sentiment,subjectivity,language,count
DWD,DWD,ORG,-0.10348583877995594,0.06644880174291912,de,229.50000000000097
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.100862998921251,0.0906148867313913,de,154.50000000000048
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-0.1565972222222224,0.020833333333333353,de,47.99999999999996
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,-0.06040268456375843,0.17058165548098442,de,29.799999999999983
Deutschem Wetterdienst,Deutschem Wetterdienst,ORG,0.0,0.1290322580645161,de,15.500000000000004
GEO,GEO,ORG,1.688311688311688,0.0,de,15.400000000000004
TTS-Player,TTS-Player,ORG,-0.0988700564971751,0.028248587570621462,de,11.800000000000002
ADAC,ADAC,ORG,-0.35779816513761464,0.18348623853211005,de,10.900000000000002
MV,MV,ORG,0.09174311926605502,0.18348623853211005,de,10.900000000000002
CDU,CDU,ORG,0.36972477064220177,0.21651376146788986,de,10.900000000000002
Fußball-Bundesliga,Fußball-Bundesliga,ORG,0.19999999999999996,0.0,de,10.000000000000002
BSR,BSR,ORG,0.2637362637362637,0.10989010989010987,de,9.100000000000001
lrs,lrs,ORG,0.3892276422764227,0.08130081300813007,de,8.200000000000001
FC Bayern,FC Bayern,ORG,0.28658536585365846,0.18292682926829265,de,8.200000000000001
lby,lby,ORG,-0.39414414414414406,0.16666666666666666,de,7.400000000000001
VW,VW,ORG,0.28767123287671226,0.0,de,7.300000000000001
D…,D…,ORG,0.0,0.136986301369863,de,7.300000000000001
Deutschland,Deutschland,ORG,-0.12727272727272726,0.0,de,5.5
"Link
","Link
",ORG,-0.3909090909090909,0.0606060606060606,de,5.5
AfD,AfD,ORG,0.0,0.0,de,5.5
Deutschen Wetterdiensts,Deutschen Wetterdiensts,ORG,0.0,0.18181818181818182,de,5.5
BVB,BVB,ORG,0.24545454545454548,0.09090909090909091,de,5.5
Grüne,Grüne,ORG,0.05454545454545456,0.0,de,5.5
Bundesliga,Bundesliga,ORG,0.0,0.2173913043478261,de,4.6
FC,FC,ORG,0.0,0.0,de,4.6
https://epaper.welt.de,https://epaper.welt.de,ORG,0.0,0.0,de,4.6
di…,di…,ORG,-0.11413043478260869,0.0,de,4.6
…,…,ORG,0.05072463768115941,0.0,de,4.6
Volkswagen,Volkswagen,ORG,-0.2702702702702703,0.0,de,3.6999999999999997
DW…,DW…,ORG,-0.1891891891891892,0.0,de,3.6999999999999997
