,summary,Sommer,Herbst,Frühling,Winter,word
summaryOfAllWords,524566.0957332609,135861.8679485706,89878.7613345279,93376.05736837228,205449.40907993665,
Schlechtwetter-Sommer,3.429317320596316,0.8118643389699349,-0.4720742084181574,-0.4783413686141229,-0.674504725367595,Schlechtwetter-Sommer
Dehoga,3.465562997957676,0.8193084331958603,-0.4825880997621678,-0.48885525995813317,-0.6850186167116052,Dehoga
schlechtwetter+-+sommer dehoga,2.918391365817116,0.6782502472848938,-0.3107455613063412,-0.3170127215023065,-0.5131760782557787,schlechtwetter+-+sommer dehoga
sieht,45.04317918289988,-0.48581414905695597,0.6236579132091865,-0.46655659074454064,0.044192883075438893,sieht
dehoga seh+t,3.2374642984990585,0.7686059703263379,-0.41450339842011774,-0.4207705586160832,-0.6169339153695552,dehoga seh+t
Betriebe,12.563921473546431,0.07657911753619061,0.8894589392883467,0.3353279683943719,-1.9729728474365156,Betriebe
seh+t betrieb+e,3.113522203895111,0.7366446169055946,-0.37546762574116366,-0.3817347859371292,-0.5778981426906012,seh+t betrieb+e
Bedrängnis,3.570295273228811,0.6764660578595608,-0.5123613009051036,-0.5186284611010692,-0.32864492944502505,Bedrängnis
betrieb+e bedrängnis,2.9510293323825207,0.688806123331728,-0.321867034668394,-0.3281341948643593,-0.5242975516178314,betrieb+e bedrängnis
Katastrophaler,2.8303359698352253,0.6479447772492792,-0.280108420810977,-0.28637558100694227,-0.48253893776041445,Katastrophaler
bedrängnis katastrophal+er,2.8303359698352253,0.6479447772492792,-0.280108420810977,-0.28637558100694227,-0.48253893776041445,bedrängnis katastrophal+er
Juli,24.0853893089884,0.7063443027725469,-0.11713512594379907,-0.15125101433264002,-0.836343552814631,Juli
katastrophal+er juli,2.741260660683734,0.6142463267875814,-0.24813090867461618,-0.2543980688705816,-0.4505614256240537,katastrophal+er juli
Hier,746.5235080386924,0.18343680442006685,-0.4230911267503248,-0.82687474104862,0.2417453325543328,Hier
juli hier,2.8981951881508383,0.6715415774794572,-0.30380119328535593,-0.3100683534813211,-0.5062317102347933,juli hier
finden,696.7287730391822,0.16738165972903996,-0.3933082967637519,-0.855281393185858,0.24922283120847172,finden
hier find+en,671.0491983114598,0.17461743269291688,-0.4219085570300132,-0.9179404430931231,0.26037048467281726,hier find+en
Sie,1609.4814968335916,0.12148409350711423,-0.3730711783314323,-0.7321904871643663,0.25212139800262473,Sie
find+en sie,650.5657403465544,0.15479604008907863,-0.417926713233737,-0.9270849878710056,0.2725986772094908,find+en sie
Informationen,641.2830411413211,0.14435800972172802,-0.4300448534934479,-0.9296642399027275,0.2816554744597971,Informationen
sie information+en,636.092773939909,0.14560716177593885,-0.43151066454393927,-0.9348742961165143,0.2819527555112791,sie information+en
Thema,740.5933246334002,0.07275740450451698,-0.44249456028297096,-0.9647808001533914,0.32773593241277543,Thema
information+en thema,730.4335593342163,0.0750960359298926,-0.44807905615566707,-0.9850514938325244,0.3301651094979264,information+en thema
thema schlechtwetter+-+sommer,2.732400378499916,0.6107087993835635,-0.24489348134433037,-0.25116064154029566,-0.4473239982937676,thema schlechtwetter+-+sommer
Lesen,778.8282975359122,0.11094021503675561,-0.44424727505961714,-0.9394063860931054,0.30467416356005583,Lesen
les+en sie,811.6585963979421,0.12531967635686705,-0.4557615571095105,-0.9048532459081522,0.2944948189220624,les+en sie
sie dehoga,2.5813018239658554,0.5443778088718322,-0.1880068535527702,-0.1942740137487355,-0.39043737050220767,sie dehoga
Die,860.2840158570324,-0.07627182534699678,0.1901499313815994,0.05087174968872532,-0.06911156263552996,Die
Gastronomie,3.6404953315423088,0.8524701186655885,-0.5318327514305372,-0.5380999116265027,-0.7342632683799747,Gastronomie
der gastronomie,2.354025646116976,0.4168438608893002,-0.09583990242174245,-0.1021070626177078,-0.29827041937118,der gastronomie
Rheinland-Pfalz,98.82055742354133,0.4438385553192931,-0.06921228657292046,-1.0198994860426123,-0.050876415318099555,Rheinland-Pfalz
gastronomie rheinland-pfalz,2.399589092822426,0.44575631179030506,-0.11501051031748198,-0.12127767051344747,-0.31744102726691953,gastronomie rheinland-pfalz
schlägt,18.1276211841694,0.503501964487739,0.4193716081650643,-1.1365930588546234,-0.4340202725572254,schlägt
rheinland-pfalz schlag+t,2.470514646738579,0.4871572874521247,-0.14413948688553974,-0.15040664708150522,-0.34657000383497727,rheinland-pfalz schlag+t
Alarm,10.655871638666074,0.1546604490385138,-1.6058240667504073,-0.5258088590928282,0.35410717048258966,Alarm
schlag+t alarm,3.8183076893458923,0.8821181835422703,-0.5795203101447833,-0.5857874703407487,-0.7819508270942208,schlag+t alarm
angesichts,10.082331074499258,-0.2445004768518664,-0.45711361540202095,-1.556764652440022,0.5083967304608588,angesichts
alarm angesichts,2.5715831800679845,0.5396798570777481,-0.18423473156127823,-0.1905018917572435,-0.3866652485107157,alarm angesichts
verregneten,7.6980742376398785,0.846083448650405,0.1076934020514893,-1.2869503577137265,-0.9177604059016504,verregneten
angesichts verregnet+en,2.7976002701892044,0.6359402222845838,-0.2684750022918539,-0.27474216248781924,-0.47090551924129137,angesichts verregnet+en
Sommers,22.716906780907696,1.2251381857998054,-1.2899820215105393,-2.111557964306116,-2.068593757101617,Sommers
verregnet+en sommer+s,5.043330265187855,0.9860498505257178,-0.5893707866786767,-0.8640467899171672,-1.0602101466706393,verregnet+en sommer+s
Schlechtwetterlage,2.7740347547915967,0.6270303773036419,-0.26001584952415274,-0.2662830097201181,-0.46244636647359005,Schlechtwetterlage
der schlechtwetter+lage,2.7740347547915967,0.6270303773036419,-0.26001584952415274,-0.2662830097201181,-0.46244636647359005,der schlechtwetter+lage
treffe,2.5290108745972244,0.5184008589295998,-0.1675412665838477,-0.17380842677981306,-0.3699717835332851,treffe
schlechtwetter+lage treff+e,2.5290108745972244,0.5184008589295998,-0.1675412665838477,-0.17380842677981306,-0.3699717835332851,schlechtwetter+lage treff+e
Branche,11.272293074740839,0.27186990753599505,0.05319966260327047,0.6912719143586123,-1.149785624837907,Branche
treff+e branche,2.459776437755284,0.48114934454221675,-0.13978346579916495,-0.1460506259951304,-0.3422139827486026,treff+e branche
wichtigsten,21.40691541129505,-0.34893673780993956,0.8828214810669007,0.0884017835200604,-0.6300375972606262,wichtigsten
branche wichtig+st+en,2.389252193973517,0.43936585945947754,-0.11069342637834433,-0.11696058657430967,-0.3131239433277819,branche wichtig+st+en
Saisonzeit,2.354025646116976,0.4168438608893002,-0.09583990242174245,-0.1021070626177078,-0.29827041937118,Saisonzeit
wichtig+st+en saison+zeit,2.354025646116976,0.4168438608893002,-0.09583990242174245,-0.1021070626177078,-0.29827041937118,wichtig+st+en saison+zeit
voller,31.484366806453746,-0.14549000898396483,-0.5288978853714642,0.8065897070006369,-0.34879357497764896,voller
saison+zeit voll+er,2.319915828397823,0.39386727359136275,-0.08124390310294807,-0.0875110632989134,-0.2836744200523856,saison+zeit voll+er
Wucht,6.3665377860085055,-0.27852518145051064,-0.04508592550511999,0.40736097431003865,-0.04971111456750469,Wucht
voll+er wucht,5.795380286360896,-0.18453047613050969,0.04890877981488095,0.3375910474084563,-0.09762164162463678,voll+er wucht
sagte,42.36864355483226,-0.19609522285757588,0.4428242175035169,-0.5874730418054056,0.0732101788852595,sagte
wucht sag+te,2.2947291365823563,0.37610464375284275,-0.07032781221745509,-0.07659497241342045,-0.27275832916689247,wucht sag+te
Gereon,2.2853805479509126,0.36932933465540935,-0.06624555119835794,-0.07251271139432335,-0.2686760681477955,Gereon
sag+te gereon,2.2853805479509126,0.36932933465540935,-0.06624555119835794,-0.07251271139432335,-0.2686760681477955,sag+te gereon
Haumann,2.2753615554432693,0.3619543576408746,-0.06185196419107133,-0.06811912438703661,-0.2642824811405087,Haumann
gereon hau+mann,2.2753615554432693,0.3619543576408746,-0.06185196419107133,-0.06811912438703661,-0.2642824811405087,gereon hau+mann
+2370,2.260053989311559,0.3504521768601449,-0.055101701020669344,-0.06136886121663463,-0.25753221797010667,+2370
hau+mann +2370,2.260053989311559,0.3504521768601449,-0.055101701020669344,-0.06136886121663463,-0.25753221797010667,hau+mann +2370
chars,1203.5305638505797,-0.023068342005779504,-0.23658531856643805,-0.20494522346863428,0.1751876823284218,chars
+2370 char+s,2.2531499185806796,0.3451691068833868,-0.0520421999401641,-0.05830936013612946,-0.25447271688960166,+2370 char+s
Konkurrenz,3.6981727832010582,0.04523440468641664,0.9469834588133209,-0.5538190144336467,-0.7499823711871189,Konkurrenz
